ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2877304,A,Calyceraceae,,Boopis,,"anthemoides",var.,"rigidula","(Miers) Griseb.",Synonym,,L,WCSP (in review),,,"Symb. Fl. Argent.","161","","1879",kew-2679578
kew-2679580,A,Calyceraceae,,Boopis,,"anthemoides",var.,"subintegrifolia","Hicken",Synonym,,L,WCSP (in review),,34797-2,"Estud. Bot. Presentados Primera Reunion Nac. Soc. Nat. Tucuman","241","","1919",kew-2679578
kew-2679581,A,Calyceraceae,,Boopis,,"anthemoides",var.,"subscandens","Speg.",Synonym,,L,WCSP (in review),,34798-2,"Anales Soc. Ci. Argent.","48: 176","","1899",kew-2679578
kew-2679582,A,Calyceraceae,,Boopis,,"araucana",,"","Phil.",Synonym,,M,WCSP (in review),,139287-1,"Anales Univ. Chile","42: 736","","1872",kew-2377867
kew-2679583,A,Calyceraceae,,Boopis,,"australis",,"","Decne.",Accepted,,M,WCSP (in review),,139288-1,"Voy. Pôle Sud","2: 87","","1853",
kew-2679584,A,Calyceraceae,,Boopis,,"australis",,"","Phil.",Unresolved,,L,WCSP (in review),,139289-1,"Anales Univ. Chile","85: 818","","1894",
tro-5400027,A,Calyceraceae,,Boopis,,"australis",var.,"australis","",Synonym,,L,TRO,5400027,,"","","","",kew-2679583
kew-2679585,A,Calyceraceae,,Boopis,,"australis",var.,"hickenii","Pontiroli",Synonym,,L,WCSP (in review),,34800-2,"Revista Mus. La Plata, Secc. Bot.","n.s., 9: 225","","1963",kew-2679583
kew-2679586,A,Calyceraceae,,Boopis,,"australis",var.,"leptophylla","(Speg.) Hicken",Synonym,,L,WCSP (in review),,34801-2,"Estud. Bot. Presentados Primera Reunion Nac. Soc. Nat. Tucuman","242","","1919",kew-2679583
kew-2679587,A,Calyceraceae,,Boopis,,"australis",var.,"squarrosa","(Miers) Reiche",Synonym,,L,WCSP (in review),,34802-2,"Anales Univ. Chile","106: 1037","","1900",kew-2679583
kew-2679588,A,Calyceraceae,,Boopis,,"balsamitifolia",,"","Juss.",Unresolved,,L,WCSP (in review),,139290-1,"Ann. Mus. Natl. Hist. Nat.","2: 350","","1803",
kew-2679589,A,Calyceraceae,,Boopis,,"bellidifolia",,"","Phil.",Synonym,,M,WCSP (in review),,139291-1,"Anales Univ. Chile","42: 736","","1872",kew-2377867
kew-2679590,A,Calyceraceae,,Boopis,,"bicolor",,"","Phil.",Synonym,,M,WCSP (in review),,34804-2,"Anales Univ. Chile","85: 813","","1894",kew-2679607
kew-2679591,A,Calyceraceae,,Boopis,,"breviflora",,"","Phil.",Synonym,,M,WCSP (in review),,34805-2,"Anales Univ. Chile","85: 814","","1894",kew-2377865
kew-2679592,A,Calyceraceae,,Boopis,,"breviscapa",,"","Phil.",Accepted,,M,WCSP (in review),,34806-2,"Anales Univ. Chile","85: 818","","1894",
kew-2679593,A,Calyceraceae,,Boopis,,"bupleuroides",,"","C.A.Mull.",Accepted,,M,WCSP (in review),,,"Fl. Bras.","6(4): 355","","1885",
kew-2679595,A,Calyceraceae,,Boopis,,"bupleuroides",var.,"microphylla","C.A.Mull.",Synonym,,L,WCSP (in review),,,"Fl. Bras.","6(4): 356","","1885",kew-2679593
kew-2679596,A,Calyceraceae,,Boopis,,"caespitosa",,"","Phil.",Synonym,,M,WCSP (in review),,139296-1,"Fl. Atacam.","26","","1860",kew-2377870
kew-2679597,A,Calyceraceae,,Boopis,,"castillonii",,"","(Hicken) Pontiroli",Accepted,,M,WCSP (in review),,34810-2,"Revista Mus. La Plata, Secc. Bot.","n.s., 9: 223","","1963",
kew-2679598,A,Calyceraceae,,Boopis,,"chubutensis",,"","Speg.",Accepted,,M,WCSP (in review),,139298-1,"Anales Mus. Nac. Buenos Aires","III, 7: 300","","1907",
kew-2679599,A,Calyceraceae,,Boopis,,"compacta",,"","Phil.",Synonym,,M,WCSP (in review),,139299-1,"Linnaea","28: 709","","1856",kew-2377875
kew-2679600,A,Calyceraceae,,Boopis,,"crassifolia",,"","(Miers) A.Gray",Synonym,,M,WCSP (in review),,139300-1,"Proc. Amer. Acad. Arts","5: 321","","1861",kew-2694030
kew-2679601,A,Calyceraceae,,Boopis,,"crassifolia",var.,"spinuligera","Speg.",Synonym,,L,WCSP (in review),,34812-2,"Anales Soc. Ci. Argent.","48: 174","","1899",kew-2694030
kew-2679602,A,Calyceraceae,,Boopis,,"diazii",,"","Phil.",Synonym,,M,WCSP (in review),,139301-1,"Linnaea","33: 106","","1864",kew-2377875
kew-2679603,A,Calyceraceae,,Boopis,,"dubia",,"","Phil.",Synonym,,M,WCSP (in review),,34813-2,"Anales Univ. Chile","85: 815","","1894",kew-2377867
kew-2679604,A,Calyceraceae,,Boopis,,"filifolia",,"","Speg.",Accepted,,M,WCSP (in review),,34814-2,"Anales Soc. Ci. Argent.","48: 176","","1901",
kew-2679605,A,Calyceraceae,,Boopis,,"gayana",,"","Phil.",Synonym,,M,WCSP (in review),,139305-1,"Linnaea","28: 709","","1856",kew-2377865
kew-2679606,A,Calyceraceae,,Boopis,,"gilliesii",,"","(Miers) Hauman",Synonym,,M,WCSP (in review),,34815-2,"Anales Soc. Ci. Argent.","86: 312","","1918",kew-2816607
kew-2679607,A,Calyceraceae,,Boopis,,"gracilis",,"","Phil.",Accepted,,M,WCSP (in review),,139307-1,"Linnaea","28: 707","","1856",
kew-2679608,A,Calyceraceae,,Boopis,,"gracilis",var.,"decumbens","Chodat",Synonym,,L,WCSP (in review),,34816-2,"Bull. Herb. Boissier","II, 2: 541","","1902",kew-2679607
kew-2679609,A,Calyceraceae,,Boopis,,"gracilis",var.,"lazulina","Speg.",Synonym,,L,WCSP (in review),,34817-2,"Revista Argent. Bot.","1: 220","","1926",kew-2679607
kew-2679610,A,Calyceraceae,,Boopis,,"gracilis",var.,"pozoiformis","(Phil.) Hicken",Synonym,,L,WCSP (in review),,34818-2,"Estud. Bot. Presentados Primera Reunion Nac. Soc. Nat. Tucuman","242","","1919",kew-2679607
kew-2679611,A,Calyceraceae,,Boopis,,"graminea",,"","Phil.",Accepted,,M,WCSP (in review),,139308-1,"Linnaea","28: 707","","1856",
tro-5400031,A,Calyceraceae,,Boopis,,"graminea",var.,"graminea","",Synonym,,L,TRO,5400031,,"","","","",kew-2679611
kew-2679613,A,Calyceraceae,,Boopis,,"integrifolia",,"","Phil.",Accepted,,M,WCSP (in review),,34820-2,"Anales Univ. Chile","85: 814","","1894",
kew-2679614,A,Calyceraceae,,Boopis,,"itatiaiae",,"","Dusén",Accepted,,M,WCSP (in review),,34821-2,"Arq. Mus. Nac. Rio de Janeiro","13: 24","","1905",
kew-2679615,A,Calyceraceae,,Boopis,,"juergensii",,"","Pilg.",Accepted,,M,WCSP (in review),,139312-1,"Notizbl. Bot. Gart. Berlin-Dahlem","11: 101","","1931",
kew-2679616,A,Calyceraceae,,Boopis,,"laciniata",,"","(Miers) Ball",Synonym,,M,WCSP (in review),,139313-1,"J. Linn. Soc., Bot.","21: 220","","1884",kew-2377867
kew-2679617,A,Calyceraceae,,Boopis,,"leptophylla",,"","Speg.",Synonym,,M,WCSP (in review),,34824-2,"Anales Soc. Ci. Argent.","48: 177","","1899",kew-2679583
kew-2679618,A,Calyceraceae,,Boopis,,"leucanthema",,"","Poepp. ex Less.",Accepted,,M,WCSP (in review),,139316-1,"Linnaea","6: 259","","1831",
kew-2679619,A,Calyceraceae,,Boopis,,"miersii",,"","Phil",Synonym,,M,WCSP (in review),,139317-1,"Anales Univ. Chile","85: 817","","1894",kew-2377867
kew-2679620,A,Calyceraceae,,Boopis,,"monocephala",,"","Phil.",Unresolved,,L,WCSP (in review),,34826-2,"Anales Mus. Nac. Santiago de Chile","1: 30","","1891",tro-5400023
kew-2679621,A,Calyceraceae,,Boopis,,"multicaulis",,"","Phil.",Accepted,,M,WCSP (in review),,139320-1,"Linnaea","28: 706","","1856",
kew-2679622,A,Calyceraceae,,Boopis,,"multicaulis",var.,"patagonica","Kuntze",Synonym,,L,WCSP (in review),,34827-2,"Revis. Gen. Pl.","3(2): 127","","1898",kew-2679621
kew-2903245,A,Calyceraceae,,Boopis,,"necronensis",,"","Zav.-Gallo, S.Denham & Pozner",Unresolved,,L,WCSP (in review),,77115322-1,"Brittonia","63: 115","","2011",
kew-2679623,A,Calyceraceae,,Boopis,,"oocaulis",,"","Kuntze",Synonym,,M,WCSP (in review),,34828-2,"Revis. Gen. Pl.","3(2): 127","","1898",kew-2377865
kew-2679624,A,Calyceraceae,,Boopis,,"patagonica",,"","Speg.",Accepted,,M,WCSP (in review),,139322-1,"Anales Mus. Nac. Buenos Aires","III, 7: 301","","1907",
kew-2679625,A,Calyceraceae,,Boopis,,"pozoiformis",,"","Phil.",Synonym,,M,WCSP (in review),,139323-1,"Anales Univ. Chile","42: 736","","1872",kew-2679607
kew-2679626,A,Calyceraceae,,Boopis,,"prichardii",,"","S.Moore",Synonym,,M,WCSP (in review),,139324-1,"J. Bot.","42: 372","","1904",kew-2679604
kew-2903243,A,Calyceraceae,,Boopis,,"pterocalyx",,"","Zav.-Gallo, S.Denham & Pozner",Unresolved,,L,WCSP (in review),,77115321-1,"Brittonia","63: 113","","2011",
kew-2679627,A,Calyceraceae,,Boopis,,"pusilla",,"","Phil.",Accepted,,M,WCSP (in review),,139325-1,"Linnaea","33: 105","","1864",
kew-2679628,A,Calyceraceae,,Boopis,,"raffaellii",,"","Speg.",Accepted,,M,WCSP (in review),,34832-2,"Revista Argent. Bot.","1: 221","","1926",
kew-2679629,A,Calyceraceae,,Boopis,,"reichei",,"","Phil.",Synonym,,M,WCSP (in review),,34833-2,"Anales Univ. Chile","85: 815","","1894",kew-2377867
kew-2679630,A,Calyceraceae,,Boopis,,"rigidula",,"","Miers",Synonym,,M,WCSP (in review),,139328-1,"Ann. Mag. Nat. Hist.","III, 6: 284","","1860",kew-2679578
kew-2679631,A,Calyceraceae,,Boopis,,"sanjuanina",,"","Hieron.",Synonym,,M,WCSP (in review),,139329-1,"Bol. Acad. Nac. Ci","4: 31","","1881",kew-2377865
kew-2679632,A,Calyceraceae,,Boopis,,"scapigera",,"","J.Rémy",Synonym,,M,WCSP (in review),,139330-1,"Fl. Chil.","3: 250","","1848",kew-2377867
kew-2898585,A,Calyceraceae,,Boopis,,"scapigera",var.,"ventosa","(Meyen) Wedd.",Synonym,,L,WCSP (in review),,,"Chlor. Andina","2: 7","","1858",kew-2377865
kew-2679633,A,Calyceraceae,,Boopis,,"spathulata",,"","Phil.",Synonym,,M,WCSP (in review),,139331-1,"Linnaea","28: 708","","1856",kew-2377867
kew-2679634,A,Calyceraceae,,Boopis,,"squarrosa",,"","Miers",Synonym,,M,WCSP (in review),,139332-1,"Ann. Mag. Nat. Hist.","III, 6: 286","","1860",kew-2679583
kew-2679635,A,Calyceraceae,,Boopis,,"tribuloides",,"","Spreng.",Synonym,,M,WCSP (in review),,139333-1,"Syst. Veg.","3: 674","","1826",kew-2617993
kew-2679636,A,Calyceraceae,,Boopis,,"ventosa",,"","(Meyen) Kuntze",Synonym,,M,WCSP (in review),,34837-2,"Revis. Gen. Pl.","3(2): 127","","1898",kew-2377865
kew-2679637,A,Calyceraceae,,Boopis,,"ventosa",f.,"pulvinata","Kuntze",Synonym,,L,WCSP (in review),,34838-2,"Revis. Gen. Pl.","3(2): 127","","1898",kew-2377867
﻿ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-399836,A,Poaceae,,Brachypodium,,"abbreviatum",,"","Dumort.",Synonym,,H,WCSP,399836,393062-1,"Observ. Gramin. Belg.","99","","1824",kew-400000
kew-399837,A,Poaceae,,Brachypodium,,"albanicum",,"","Acht. & Kitan.",Unresolved,,L,WCSP,399837,393063-1,"Ann. Fac. Phil. Univ. Skopje Sect. Sci. Nat.","1: 190","","1948",
kew-399838,A,Poaceae,,Brachypodium,,"allionii",,"","C.Presl",Synonym,Illegitimate,H,WCSP,399838,393064-1,"Fl. Sicul.","1: 95","","1826",kew-400076
kew-399828,A,Poaceae,,Brachypodium,×,"ambrosii",,"","Sennen",Accepted,,H,WCSP,399828,393065-1,"Treb. Mus. Ci. Nat. Barcelona, Bot.","15(1): 41","","1931",
kew-399839,A,Poaceae,,Brachypodium,,"andinum",,"","Hack. ex Sodiro",Unresolved,,L,WCSP,399839,,"Anales Univ. Centr. Ecuador","3(25): 483","","1889",
tro-25544840,A,Poaceae,,Brachypodium,,"andreanum",,"","Sennen ex St.-Yves",Unresolved,,L,TRO,25544840,,"Candollea","5: 466","466","1934",
kew-399840,A,Poaceae,,Brachypodium,,"annuum",,"","Sennen",Synonym,Invalid,H,WCSP,399840,393067-1,"Bull. Soc. Hist. Nat. Afrique N.","23: 265","","1932",kew-399871
kew-399829,A,Poaceae,,Brachypodium,×,"apollinaris",,"","Sennen",Accepted,,H,WCSP,399829,393068-1,"Treb. Mus. Ci. Nat. Barcelona, Bot.","15(1): 41","","1931",
tro-25558038,A,Poaceae,,Brachypodium,,"arbuscula",,"","(Gay ex St.-Yves) Gay ex St.-Yves",Accepted,,M,TRO,25558038,393069-1,"Candollea","5: 468","468","1934",
kew-399842,A,Poaceae,,Brachypodium,,"arbusculum",,"","Knoche",Accepted,,H,WCSP,399842,957731-1,"Vagandi Mos.","272","","1923",
kew-399843,A,Poaceae,,Brachypodium,,"asperum",,"","(DC.) Roem. & Schult.",Synonym,Illegitimate,H,WCSP,399843,393070-1,"Syst. Veg.","2: 742","","1817",kew-399871
kew-462397,A,Poaceae,,Brachypodium,,"atlanticum",,"","Dobignard",Synonym,Illegitimate,H,WCSP,462397,77106287-1,"Index Syn. Fl. Afrique N.","1: 426","","2010",kew-399988
kew-399844,A,Poaceae,,Brachypodium,,"barbinode",,"","Bercht. & Seidl",Synonym,,H,WCSP,399844,,"Oekon.-Techn. Fl. Böhm.","1: 391","","1836",kew-400100
kew-399845,A,Poaceae,,Brachypodium,,"barrelieri",,"","Roem. & Schult.",Synonym,,H,WCSP,399845,393071-1,"Syst. Veg.","2: 741","","1817",kew-400000
kew-399846,A,Poaceae,,Brachypodium,,"biflorum",,"","(Brign.) Kunth",Synonym,,H,WCSP,399846,393072-1,"Enum. Pl.","1: 543","","1833",kew-410994
kew-399847,A,Poaceae,,Brachypodium,,"biunciale",,"","(Vill.) Roem. & Schult.",Synonym,,H,WCSP,399847,393073-1,"Syst. Veg.","2: 746","","1817",kew-450108
kew-399830,A,Poaceae,,Brachypodium,×,"boffillii",,"","Sennen",Unresolved,,L,WCSP,399830,393074-1,"Treb. Inst. Catalana Hist. Nat.","1917: 253, 199","","1917",
kew-399848,A,Poaceae,,Brachypodium,,"bofillii",,"","Sennen",Synonym,Invalid,H,WCSP,399848,393075-1,"Bull. Soc. Bot. France","68: 407","","1922",kew-400076
kew-399849,A,Poaceae,,Brachypodium,,"boissieri",,"","Nyman",Synonym,,H,WCSP,399849,393076-1,"Syll. Fl. Eur.","425","","1855",kew-400076
kew-399850,A,Poaceae,,Brachypodium,,"boissieri",f.,"aristatum","H.Lindb.",Synonym,,L,WCSP,399850,,"Acta Soc. Sci. Fenn., Ser. B, Opera Biol.","1(2): 12","","1932",kew-400076
kew-399851,A,Poaceae,,Brachypodium,,"bolusii",,"","Stapf",Accepted,,H,WCSP,399851,393077-1,"Fl. Cap.","7: 737","","1900",
kew-399852,A,Poaceae,,Brachypodium,,"brachystachyum",,"","Voss",Synonym,Invalid,L,WCSP,399852,,"Vilm. Blumengärtn. ed. 3","1: 1218","","1895",kew-388313
kew-399853,A,Poaceae,,Brachypodium,,"brevisetum",,"","(DC.) Roem. & Schult.",Synonym,,H,WCSP,399853,393079-1,"Syst. Veg.","2: 742","","1817",kew-399871
kew-399854,A,Poaceae,,Brachypodium,,"caespitosum",,"","(Desf.) C.Presl",Synonym,Illegitimate,H,WCSP,399854,393080-1,"Fl. Sicul.","xlv","","1826",kew-400076
kew-399856,A,Poaceae,,Brachypodium,,"caespitosum",var.,"collinum","Rchb.",Synonym,Invalid,L,WCSP,399856,,"Agrostogr. Germ.","6, t. 17","","1834",kew-400000
kew-399857,A,Poaceae,,Brachypodium,,"caespitosum",var.,"phoenicoides","(L.) Benth.",Synonym,,L,WCSP,399857,,"Cat. Pl. Pyrénées","64","","1826",kew-399988
kew-399858,A,Poaceae,,Brachypodium,,"caninum",,"","(L.) Lindm.",Synonym,,H,WCSP,399858,,"Sv. Fanerogamfl.","104","","1918",kew-410994
kew-399859,A,Poaceae,,Brachypodium,,"capillifolium",,"","Sennen",Synonym,Invalid,H,WCSP,399859,393083-1,"Bull. Soc. Hist. Nat. Afrique N.","23: 273","","1932",kew-400076
kew-399860,A,Poaceae,,Brachypodium,,"cenisium",,"","(All.) P.Beauv.",Synonym,,H,WCSP,399860,393084-1,"Ess. Agrostogr.","101, 155, 174","","1812",kew-435540
kew-399855,A,Poaceae,,Brachypodium,,"cespitosum",,"","Roem. & Schult.",Synonym,,H,WCSP,399855,393081-1,"Syst. Veg.","2: 737","","1817",kew-400000
kew-399861,A,Poaceae,,Brachypodium,,"chinense",,"","S.Moore",Synonym,,H,WCSP,399861,393085-1,"J. Bot.","13: 230","","1875",kew-411018
tro-25560927,A,Poaceae,,Brachypodium,,"chinensis",,"","S. Moore",Unresolved,,L,TRO,25560927,,"J. Bot.","13(152): 230","230","1875",
kew-399862,A,Poaceae,,Brachypodium,,"ciliare",,"","(Trin.) Maxim.",Synonym,,H,WCSP,399862,,"Bull. Soc. Imp. Naturalistes Moscou","54(1): 71","","1879",kew-411018
kew-399863,A,Poaceae,,Brachypodium,,"ciliatum",,"","(Gouan) P.Beauv.",Synonym,,H,WCSP,399863,393086-1,"Ess. Agrostogr.","101","","1812",kew-399871
kew-399864,A,Poaceae,,Brachypodium,,"columbianum",,"","Pilg.",Synonym,,H,WCSP,399864,35964-2,"Bot. Jahrb. Syst.","27: 34","","1899",kew-399966
kew-399865,A,Poaceae,,Brachypodium,,"commutatum",,"","(Schrad.) P.Beauv.",Synonym,,H,WCSP,399865,393088-1,"Ess. Agrostogr.","101","","1812",kew-400856
kew-399866,A,Poaceae,,Brachypodium,,"constrictum",,"","Hook.f.",Synonym,Spelling variant,H,WCSP,399866,393089-1,"Fl. Brit. India","7: 363","","1896",kew-400000
kew-399867,A,Poaceae,,Brachypodium,,"contractum",,"","C.Presl",Synonym,,H,WCSP,399867,393091-1,"Cyper. Gramin. Sicul.","40","","1820",kew-400000
kew-399868,A,Poaceae,,Brachypodium,,"corniculatum",,"","Lam.",Synonym,,H,WCSP,399868,,"Fl. Franç.","3: 608","","1779",kew-400000
tro-25560931,A,Poaceae,,Brachypodium,,"corniculatum",,"","(Lam.) Dumort.",Synonym,,M,TRO,25560931,,"Observ. Gramin. Belg.","100, t. 3, f. 9","100","1823",kew-400000
tro-35114190,B,Ptychomitriaceae,,Brachypodium,,"crispatum",,"","(Hedw.) Brid.",Accepted,,M,TRO,35114190,,"Bryol. Univ.","1: 147, 717","147, 717","1826",
kew-399831,A,Poaceae,,Brachypodium,×,"cugnacii",,"","A.Camus",Accepted,,H,WCSP,399831,393093-1,"Bull. Soc. Bot. France","78: 100","","1931",
kew-399869,A,Poaceae,,Brachypodium,,"dalmaticum",,"","Vis.",Unresolved,,L,WCSP,399869,,"Fl. Dalmat.","Suppl.: 23","","1872",
kew-399870,A,Poaceae,,Brachypodium,,"diaphanum",,"","(Steud.) Cufod.",Synonym,Illegitimate,H,WCSP,399870,393095-1,"Bull. Jard. Bot. Natl. Belg.","38(Suppl.): 1215","","1968",kew-399915
kew-399832,A,Poaceae,,Brachypodium,×,"diazii",,"","Sennen",Accepted,,H,WCSP,399832,393096-1,"Treb. Mus. Ci. Nat. Barcelona, Bot.","15(1): 41","","1931",
kew-399871,A,Poaceae,,Brachypodium,,"distachyon",,"","(L.) P.Beauv.",Accepted,,H,WCSP,399871,393098-1,"Ess. Agrostogr.","101","","1812",
kew-399872,A,Poaceae,,Brachypodium,,"distachyon",,"","Roem. & Schult.",Synonym,Illegitimate,H,WCSP,399872,393097-1,"Syst. Veg.","2: 741","","1817",kew-399871
kew-399892,A,Poaceae,,Brachypodium,,"distachyon",var.,"asperum","(DC.) Parl.",Synonym,,L,WCSP,399892,,"Fl. Ital.","1: 492","","1850",kew-399871
kew-399873,A,Poaceae,,Brachypodium,,"distachyon",f.,"brevisetum","(DC.) Pamp.",Synonym,,L,WCSP,399873,,"Boll. Soc. Bot. Ital.","1914: 11","","1914",kew-399871
kew-399893,A,Poaceae,,Brachypodium,,"distachyon",var.,"brevisetum","(DC.) Asch. & Graebn.",Synonym,,L,WCSP,399893,,"Syn. Mitteleur. Fl.","2(1): 641","","1901",kew-399871
tro-25560940,A,Poaceae,,Brachypodium,,"distachyon",var.,"ciliatum","(DC.) Beck",Accepted,,L,TRO,25560940,,"Wiss. Mitt. Bosn.-Herzegowin. Landesmus., Heft C, Naturwiss.","9: 458","458","1904",
kew-399874,A,Poaceae,,Brachypodium,,"distachyon",f.,"confusum","Pamp.",Synonym,,L,WCSP,399874,,"Boll. Soc. Bot. Ital.","1914: 49","","1914",kew-399871
tro-25552325,A,Poaceae,,Brachypodium,,"distachyon",var.,"distachyon","",Synonym,,L,TRO,25552325,,"","","","",kew-399871
kew-399896,A,Poaceae,,Brachypodium,,"distachyon",var.,"hispidum","Pamp.",Synonym,,L,WCSP,399896,,"Boll. Soc. Bot. Ital.","1914: 11","","1914",kew-399871
kew-399875,A,Poaceae,,Brachypodium,,"distachyon",f.,"intermedium","Pamp.",Synonym,,L,WCSP,399875,,"Boll. Soc. Bot. Ital.","1914: 11","","1914",kew-399871
kew-399876,A,Poaceae,,Brachypodium,,"distachyon",f.,"mite","Pamp.",Synonym,,L,WCSP,399876,,"Boll. Soc. Bot. Ital.","1914: 11","","1914",kew-399871
kew-399897,A,Poaceae,,Brachypodium,,"distachyon",var.,"monostachyum","(Poir.) Guss.",Synonym,,L,WCSP,399897,,"Fl. Sicul. Syn.","1: 73","","1843",kew-399871
kew-399877,A,Poaceae,,Brachypodium,,"distachyon",f.,"multiflorum","(Willk.) Pamp.",Synonym,,L,WCSP,399877,,"Boll. Soc. Bot. Ital.","1914: 48","","1914",kew-399871
kew-399898,A,Poaceae,,Brachypodium,,"distachyon",var.,"multiflorum","Willk.",Synonym,,L,WCSP,399898,,"Prodr. Fl. Hispan.","1: 112","","1861",kew-399871
kew-399899,A,Poaceae,,Brachypodium,,"distachyon",var.,"neglectum","T.Ruíz & Devesa",Synonym,,L,WCSP,399899,,"Gramineas Extremadura","210","","1991",kew-399871
kew-399878,A,Poaceae,,Brachypodium,,"distachyon",f.,"paradoxum","(Sommier) Pamp.",Synonym,,L,WCSP,399878,,"Boll. Soc. Bot. Ital.","1914: 49","","1914",kew-399871
kew-399900,A,Poaceae,,Brachypodium,,"distachyon",var.,"paradoxum","Sommier",Synonym,,L,WCSP,399900,,"Isole Pelagie","252","","1908",kew-399871
kew-399884,A,Poaceae,,Brachypodium,,"distachyon",subsp.,"paui","(Sennen) Malag.",Synonym,,L,WCSP,399884,881581-1,"Acta Phytotax. Barcinon.","18: 10","","1977",kew-399871
kew-399879,A,Poaceae,,Brachypodium,,"distachyon",f.,"pentastachyon","(Tineo) Pamp.",Synonym,,L,WCSP,399879,,"Boll. Soc. Bot. Ital.","1914: 48","","1914",kew-399871
kew-399901,A,Poaceae,,Brachypodium,,"distachyon",var.,"pentastachyon","(Tineo) Guss.",Synonym,,L,WCSP,399901,,"Fl. Sicul. Syn.","1: 73","","1843",kew-399871
tro-25560989,A,Poaceae,,Brachypodium,,"distachyon",var.,"pentastachyum","(Tineo) Asch. & Graebn.",Synonym,,L,TRO,25560989,,"Syn. Mitteleur. Fl.","2: 639","639","1901",kew-399871
tro-25560990,A,Poaceae,,Brachypodium,,"distachyon",var.,"platystachyon","Coss. & Durieu",Synonym,,L,TRO,25560990,,"Expl. Sci. Algérie","2: 192","192","1855",kew-399871
kew-399880,A,Poaceae,,Brachypodium,,"distachyon",f.,"platystachyum","(Balansa) Pamp.",Synonym,,L,WCSP,399880,,"Boll. Soc. Bot. Ital.","1914: 49","","1914",kew-399871
kew-399902,A,Poaceae,,Brachypodium,,"distachyon",var.,"platystachyum","Balansa",Synonym,,L,WCSP,399902,,"Expl. Sci. Algérie","2: 192","","1855",kew-399871
kew-399903,A,Poaceae,,Brachypodium,,"distachyon",var.,"pluriflorum","Oppenh.",Synonym,,L,WCSP,399903,,"Bull. Soc. Bot. Genève","31: 166","","1940",kew-399871
kew-399881,A,Poaceae,,Brachypodium,,"distachyon",f.,"pseudosubtile","Pamp.",Synonym,,L,WCSP,399881,,"Boll. Soc. Bot. Ital.","1914: 11","","1914",kew-399871
kew-399904,A,Poaceae,,Brachypodium,,"distachyon",var.,"pubescens","Maire",Synonym,,L,WCSP,399904,,"Cat. Pl. Maroc","1: 84","","1931",kew-399871
kew-399905,A,Poaceae,,Brachypodium,,"distachyon",var.,"pumilum","Willk.",Synonym,,L,WCSP,399905,,"Prodr. Fl. Hispan.","1: 112","","1861",kew-399871
kew-399882,A,Poaceae,,Brachypodium,,"distachyon",f.,"subtile","(De Not.) Pamp.",Synonym,,L,WCSP,399882,,"Boll. Soc. Bot. Ital.","1914: 48","","1914",kew-399871
kew-399906,A,Poaceae,,Brachypodium,,"distachyon",var.,"subtile","(De Not.) Lojac.",Synonym,,L,WCSP,399906,,"Fl. Sicul.","3: 376","","1909",kew-399871
kew-399883,A,Poaceae,,Brachypodium,,"distachyon",f.,"undulatifolium","Pamp.",Synonym,,L,WCSP,399883,,"Boll. Soc. Bot. Ital.","1914: 50","","1914",kew-399871
kew-399907,A,Poaceae,,Brachypodium,,"distachyon",var.,"undulatum","Guss.",Synonym,,L,WCSP,399907,,"Fl. Sicul. Syn.","1: 72","","1843",kew-399871
kew-399908,A,Poaceae,,Brachypodium,,"distachyon",var.,"velutinum","Pamp.",Synonym,,L,WCSP,399908,,"Boll. Soc. Bot. Ital.","1914: 11","","1914",kew-399871
kew-399909,A,Poaceae,,Brachypodium,,"divaricatum",,"","(Desf.) C.Presl",Synonym,,H,WCSP,399909,393099-1,"Cyper. Gramin. Sicul.","40","","1820",kew-406066
kew-399910,A,Poaceae,,Brachypodium,,"durum",,"","Keng",Synonym,,H,WCSP,399910,393100-1,"Sunyatsenia","6: 54","","1941",kew-450800
kew-399911,A,Poaceae,,Brachypodium,,"festuca",,"","P.Beauv.",Unresolved,,L,WCSP,399911,393101-1,"Ess. Agrostogr.","101","","1812",
kew-399912,A,Poaceae,,Brachypodium,,"festucoides",,"","(Bertol.) P.Beauv.",Synonym,,H,WCSP,399912,393102-1,"Ess. Agrostogr.","101, 155, 180","","1812",kew-424296
kew-399913,A,Poaceae,,Brachypodium,,"festucoides",,"","Link",Synonym,Illegitimate,H,WCSP,399913,393103-1,"Enum. Hort. Berol. Alt.","1: 95","","1821",kew-450062
kew-399914,A,Poaceae,,Brachypodium,,"firmifolium",,"","H.Lindb.",Accepted,,H,WCSP,399914,393104-1,"Acta Soc. Sci. Fenn., Ser. B, Opera Biol.","2(7): 7","","1946",
kew-399915,A,Poaceae,,Brachypodium,,"flexum",,"","Nees",Accepted,,H,WCSP,399915,393105-1,"Fl. Afr. Austral. Ill.","456","","1841",
